date,ugeo,share,target_2008,target_2025,target_2030,generated_waste,recycled_waste
2005,Austria,66.9,55,65,70,1111400.0,743870.0
2016,Austria,66.8,55,65,70,1340711.0,896201.0
2005,Belgium,76.8,55,65,70,1659443.0,1274705.0
2016,Belgium,81.9,55,65,70,1780492.0,1458418.0
2016,Bulgaria,63.8,55,65,70,421145.0,268724.0
2005,Bulgaria,30.8,55,65,70,520192.0,160244.0
2016,Croatia,54.7,55,65,70,229430.0,125594.0
2016,Cyprus,59.8,55,65,70,72873.0,43571.0
2005,Cyprus,11.1,55,65,70,123066.0,13643.0
2016,Czech Republic,75.3,55,65,70,1149843.0,866013.0
2005,Czech Republic,59.0,55,65,70,847445.0,499872.0
2016,Czechia,75.3,55,65,70,1149843.0,866013.0
2005,Czechia,59.0,55,65,70,847445.0,499872.0
2005,Denmark,52.5,55,65,70,983011.0,516099.0
2016,Denmark,79.0,55,65,70,935325.0,738999.0
2016,Estonia,56.0,55,65,70,222807.0,124822.0
2005,Estonia,40.3,55,65,70,137189.0,55317.0
2016,Finland,64.7,55,65,70,709925.0,459104.0
2005,Finland,43.2,55,65,70,688820.0,297400.0
2005,France,53.3,55,65,70,12360928.0,6587791.0
2016,France,66.0,55,65,70,12682757.0,8376324.0
2016,Germany,70.7,55,65,70,18161800.0,12835274.0
2005,Germany,68.2,55,65,70,15470500.0,10553200.0
2016,Greece,66.1,55,65,70,752300.0,497310.0
2005,Greece,41.8,55,65,70,1061005.0,444000.0
2005,Hungary,45.9,55,65,70,853044.0,391511.0
2016,Hungary,49.7,55,65,70,1195174.0,594383.0
2016,Iceland,51.6,55,65,70,48936.0,25253.0
2005,Ireland,55.6,55,65,70,925222.0,514789.0
2016,Ireland,67.0,55,65,70,991298.0,663791.0
2016,Italy,66.9,55,65,70,12703964.0,8501089.0
2005,Italy,53.7,55,65,70,11952800.0,6422100.0
2016,Latvia,57.7,55,65,70,231615.0,133536.0
2005,Latvia,47.0,55,65,70,263833.0,124114.0
2016,Liechtenstein,65.8,55,65,70,6251.0,4116.0
2005,Lithuania,32.5,55,65,70,264016.0,85783.0
2016,Lithuania,69.5,55,65,70,365376.0,253870.0
2016,Luxembourg,61.5,55,65,70,127697.0,78497.0
2005,Luxembourg,62.6,55,65,70,98832.0,61866.0
2005,Malta,8.1,55,65,70,42333.0,3416.0
2016,Malta,39.7,55,65,70,66927.0,26543.0
2016,Netherlands,72.6,55,65,70,3140000.0,2281000.0
2005,Netherlands,59.4,55,65,70,3349000.0,1988000.0
2016,Norway,57.2,55,65,70,799325.0,457398.0
2016,Poland,58.0,55,65,70,5641573.0,3269758.0
2005,Poland,29.5,55,65,70,3509005.0,1034500.0
2005,Portugal,44.3,55,65,70,1498121.0,663002.0
2016,Portugal,60.9,55,65,70,1653955.0,1007876.0
2005,Romania,23.0,55,65,70,1140844.0,262922.0
2016,Romania,60.4,55,65,70,1350168.0,815033.0
2005,Slovakia,29.8,55,65,70,346700.0,103272.0
2016,Slovakia,65.8,55,65,70,517843.0,340946.0
2005,Slovenia,45.3,55,65,70,168630.0,76404.0
2016,Slovenia,69.4,55,65,70,223105.0,154891.0
2016,Spain,70.3,55,65,70,7230653.0,5085833.0
2005,Spain,50.4,55,65,70,7798421.0,3931908.0
2005,Sweden,48.2,55,65,70,1512080.0,728818.0
2016,Sweden,68.2,55,65,70,1313965.0,896255.0
2016,United Kingdom,64.7,55,65,70,11476321.0,7424629.0
2005,United Kingdom,54.4,55,65,70,10280196.0,5595348.0
