"TIME","GEO","GEO_LABEL","UNIT","Value","Flag and Footnotes"
"2000","EU27_2020","European Union - 27 countries (from 2020)","Euro per kilogram","1.1891","s"
"2000","EU27_2020","European Union - 27 countries (from 2020)","Euro per kilogram, chain linked volumes (2010)","1.4527","s"
"2000","EU27_2020","European Union - 27 countries (from 2020)","Purchasing power standard (PPS) per kilogram","1.1891","s"
"2000","EU27_2020","European Union - 27 countries (from 2020)","Index, 2000=100","100",""
"2000","EU28","European Union - 28 countries (2013-2020)","Euro per kilogram","1.3122","s"
"2000","EU28","European Union - 28 countries (2013-2020)","Euro per kilogram, chain linked volumes (2010)","1.5179","s"
"2000","EU28","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS) per kilogram","1.2435","s"
"2000","EU28","European Union - 28 countries (2013-2020)","Index, 2000=100","100",""
"2000","BE","Belgium","Euro per kilogram","1.6753","s"
"2000","BE","Belgium","Euro per kilogram, chain linked volumes (2010)","2.0023","s"
"2000","BE","Belgium","Purchasing power standard (PPS) per kilogram","1.5461","s"
"2000","BE","Belgium","Index, 2000=100","100",""
"2000","BG","Bulgaria","Euro per kilogram","0.1427",""
"2000","BG","Bulgaria","Euro per kilogram, chain linked volumes (2010)","0.2437",""
"2000","BG","Bulgaria","Purchasing power standard (PPS) per kilogram","0.4319",""
"2000","BG","Bulgaria","Index, 2000=100","100",""
"2000","CZ","Czechia","Euro per kilogram","0.3716",""
"2000","CZ","Czechia","Euro per kilogram, chain linked volumes (2010)","0.6376",""
"2000","CZ","Czechia","Purchasing power standard (PPS) per kilogram","0.7666",""
"2000","CZ","Czechia","Index, 2000=100","100",""
"2000","DK","Denmark","Euro per kilogram","1.3025",""
"2000","DK","Denmark","Euro per kilogram, chain linked volumes (2010)","1.6478",""
"2000","DK","Denmark","Purchasing power standard (PPS) per kilogram","0.9301",""
"2000","DK","Denmark","Index, 2000=100","100",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Euro per kilogram","1.4503",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Euro per kilogram, chain linked volumes (2010)","1.619",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS) per kilogram","1.2773",""
"2000","DE","Germany (until 1990 former territory of the FRG)","Index, 2000=100","100",""
"2000","EE","Estonia","Euro per kilogram","0.2857",""
"2000","EE","Estonia","Euro per kilogram, chain linked volumes (2010)","0.4904",""
"2000","EE","Estonia","Purchasing power standard (PPS) per kilogram","0.5061",""
"2000","EE","Estonia","Index, 2000=100","100",""
"2000","IE","Ireland","Euro per kilogram","0.8507",""
"2000","IE","Ireland","Euro per kilogram, chain linked volumes (2010)","0.9945",""
"2000","IE","Ireland","Purchasing power standard (PPS) per kilogram","0.7487",""
"2000","IE","Ireland","Index, 2000=100","100",""
"2000","EL","Greece","Euro per kilogram","0.9325","s"
"2000","EL","Greece","Euro per kilogram, chain linked volumes (2010)","1.2386","s"
"2000","EL","Greece","Purchasing power standard (PPS) per kilogram","1.1426","s"
"2000","EL","Greece","Index, 2000=100","100",""
"2000","ES","Spain","Euro per kilogram","0.939","s"
"2000","ES","Spain","Euro per kilogram, chain linked volumes (2010)","1.2613","s"
"2000","ES","Spain","Purchasing power standard (PPS) per kilogram","1.0543","s"
"2000","ES","Spain","Index, 2000=100","100",""
"2000","FR","France","Euro per kilogram","1.6724","s"
"2000","FR","France","Euro per kilogram, chain linked volumes (2010)","1.9929","s"
"2000","FR","France","Purchasing power standard (PPS) per kilogram","1.4933","s"
"2000","FR","France","Index, 2000=100","100",""
"2000","HR","Croatia","Euro per kilogram","0.7011","s"
"2000","HR","Croatia","Euro per kilogram, chain linked volumes (2010)","1.0531","s"
"2000","HR","Croatia","Purchasing power standard (PPS) per kilogram","1.1755","s"
"2000","HR","Croatia","Index, 2000=100","100",""
"2000","IT","Italy","Euro per kilogram","1.6471",""
"2000","IT","Italy","Euro per kilogram, chain linked volumes (2010)","2.0722",""
"2000","IT","Italy","Purchasing power standard (PPS) per kilogram","1.699",""
"2000","IT","Italy","Index, 2000=100","100",""
"2000","CY","Cyprus","Euro per kilogram","0.6403","s"
"2000","CY","Cyprus","Euro per kilogram, chain linked volumes (2010)","0.8279","s"
"2000","CY","Cyprus","Purchasing power standard (PPS) per kilogram","0.7273","s"
"2000","CY","Cyprus","Index, 2000=100","100",""
"2000","LV","Latvia","Euro per kilogram","0.5634",""
"2000","LV","Latvia","Euro per kilogram, chain linked volumes (2010)","0.8078",""
"2000","LV","Latvia","Purchasing power standard (PPS) per kilogram","1.032",""
"2000","LV","Latvia","Index, 2000=100","100",""
"2000","LT","Lithuania","Euro per kilogram","0.4282","s"
"2000","LT","Lithuania","Euro per kilogram, chain linked volumes (2010)","0.6273","s"
"2000","LT","Lithuania","Purchasing power standard (PPS) per kilogram","0.8427","s"
"2000","LT","Lithuania","Index, 2000=100","100",""
"2000","LU","Luxembourg","Euro per kilogram","2.068",""
"2000","LU","Luxembourg","Euro per kilogram, chain linked volumes (2010)","2.7588",""
"2000","LU","Luxembourg","Purchasing power standard (PPS) per kilogram","1.7972",""
"2000","LU","Luxembourg","Index, 2000=100","100",""
"2000","HU","Hungary","Euro per kilogram","0.4283",""
"2000","HU","Hungary","Euro per kilogram, chain linked volumes (2010)","0.6743",""
"2000","HU","Hungary","Purchasing power standard (PPS) per kilogram","0.8405",""
"2000","HU","Hungary","Index, 2000=100","100",""
"2000","MT","Malta","Euro per kilogram","1.2039","s"
"2000","MT","Malta","Euro per kilogram, chain linked volumes (2010)","1.4769","s"
"2000","MT","Malta","Purchasing power standard (PPS) per kilogram","1.623","s"
"2000","MT","Malta","Index, 2000=100","100",""
"2000","NL","Netherlands","Euro per kilogram","2.2659",""
"2000","NL","Netherlands","Euro per kilogram, chain linked volumes (2010)","2.7991",""
"2000","NL","Netherlands","Purchasing power standard (PPS) per kilogram","2.1137",""
"2000","NL","Netherlands","Index, 2000=100","100",""
"2000","AT","Austria","Euro per kilogram","1.3178","b"
"2000","AT","Austria","Euro per kilogram, chain linked volumes (2010)","1.5674","b"
"2000","AT","Austria","Purchasing power standard (PPS) per kilogram","1.2061","b"
"2000","AT","Austria","Index, 2000=100","100",""
"2000","PL","Poland","Euro per kilogram","0.3456",""
"2000","PL","Poland","Euro per kilogram, chain linked volumes (2010)","0.4566",""
"2000","PL","Poland","Purchasing power standard (PPS) per kilogram","0.6278",""
"2000","PL","Poland","Index, 2000=100","100",""
"2000","PT","Portugal","Euro per kilogram","0.6401",""
"2000","PT","Portugal","Euro per kilogram, chain linked volumes (2010)","0.8326",""
"2000","PT","Portugal","Purchasing power standard (PPS) per kilogram","0.8043",""
"2000","PT","Portugal","Index, 2000=100","100",""
"2000","RO","Romania","Euro per kilogram","0.2349",""
"2000","RO","Romania","Euro per kilogram, chain linked volumes (2010)","0.4797",""
"2000","RO","Romania","Purchasing power standard (PPS) per kilogram","0.6309",""
"2000","RO","Romania","Index, 2000=100","100",""
"2000","SI","Slovenia","Euro per kilogram","0.6398",""
"2000","SI","Slovenia","Euro per kilogram, chain linked volumes (2010)","0.8138",""
"2000","SI","Slovenia","Purchasing power standard (PPS) per kilogram","0.8702",""
"2000","SI","Slovenia","Index, 2000=100","100",""
"2000","SK","Slovakia","Euro per kilogram","0.4125",""
"2000","SK","Slovakia","Euro per kilogram, chain linked volumes (2010)","0.7737",""
"2000","SK","Slovakia","Purchasing power standard (PPS) per kilogram","0.9383",""
"2000","SK","Slovakia","Index, 2000=100","100",""
"2000","FI","Finland","Euro per kilogram","0.7815","s"
"2000","FI","Finland","Euro per kilogram, chain linked volumes (2010)","0.9044","s"
"2000","FI","Finland","Purchasing power standard (PPS) per kilogram","0.6597","s"
"2000","FI","Finland","Index, 2000=100","100",""
"2000","SE","Sweden","Euro per kilogram","1.5859",""
"2000","SE","Sweden","Euro per kilogram, chain linked volumes (2010)","1.6758",""
"2000","SE","Sweden","Purchasing power standard (PPS) per kilogram","1.214",""
"2000","SE","Sweden","Index, 2000=100","100",""
"2000","UK","United Kingdom","Euro per kilogram","2.4331",""
"2000","UK","United Kingdom","Euro per kilogram, chain linked volumes (2010)","2.1452",""
"2000","UK","United Kingdom","Purchasing power standard (PPS) per kilogram","1.7483",""
"2000","UK","United Kingdom","Index, 2000=100","100",""
"2000","IS","Iceland","Euro per kilogram",":",""
"2000","IS","Iceland","Euro per kilogram, chain linked volumes (2010)",":",""
"2000","IS","Iceland","Purchasing power standard (PPS) per kilogram",":",""
"2000","IS","Iceland","Index, 2000=100",":",""
"2000","NO","Norway","Euro per kilogram",":",""
"2000","NO","Norway","Euro per kilogram, chain linked volumes (2010)",":",""
"2000","NO","Norway","Purchasing power standard (PPS) per kilogram",":",""
"2000","NO","Norway","Index, 2000=100",":",""
"2000","CH","Switzerland","Euro per kilogram","3.2493",""
"2000","CH","Switzerland","Euro per kilogram, chain linked volumes (2010)","4.0553",""
"2000","CH","Switzerland","Purchasing power standard (PPS) per kilogram","2.3507",""
"2000","CH","Switzerland","Index, 2000=100","100",""
"2000","MK","North Macedonia","Euro per kilogram",":",""
"2000","MK","North Macedonia","Euro per kilogram, chain linked volumes (2010)",":",""
"2000","MK","North Macedonia","Purchasing power standard (PPS) per kilogram",":",""
"2000","MK","North Macedonia","Index, 2000=100",":",""
"2000","AL","Albania","Euro per kilogram",":",""
"2000","AL","Albania","Euro per kilogram, chain linked volumes (2010)",":",""
"2000","AL","Albania","Purchasing power standard (PPS) per kilogram",":",""
"2000","AL","Albania","Index, 2000=100",":",""
"2000","RS","Serbia","Euro per kilogram",":",""
"2000","RS","Serbia","Euro per kilogram, chain linked volumes (2010)",":",""
"2000","RS","Serbia","Purchasing power standard (PPS) per kilogram",":",""
"2000","RS","Serbia","Index, 2000=100",":",""
"2000","TR","Turkey","Euro per kilogram","0.4712",""
"2000","TR","Turkey","Euro per kilogram, chain linked volumes (2010)","0.6223",""
"2000","TR","Turkey","Purchasing power standard (PPS) per kilogram","0.7989",""
"2000","TR","Turkey","Index, 2000=100","100",""
"2000","BA","Bosnia and Herzegovina","Euro per kilogram",":",""
"2000","BA","Bosnia and Herzegovina","Euro per kilogram, chain linked volumes (2010)",":",""
"2000","BA","Bosnia and Herzegovina","Purchasing power standard (PPS) per kilogram",":",""
"2000","BA","Bosnia and Herzegovina","Index, 2000=100",":",""
"2001","EU27_2020","European Union - 27 countries (from 2020)","Euro per kilogram","1.2367","s"
"2001","EU27_2020","European Union - 27 countries (from 2020)","Euro per kilogram, chain linked volumes (2010)","1.4734","s"
"2001","EU27_2020","European Union - 27 countries (from 2020)","Purchasing power standard (PPS) per kilogram","1.2367","s"
"2001","EU27_2020","European Union - 27 countries (from 2020)","Index, 2000=100","101.427","s"
"2001","EU28","European Union - 28 countries (2013-2020)","Euro per kilogram","1.3536","s"
"2001","EU28","European Union - 28 countries (2013-2020)","Euro per kilogram, chain linked volumes (2010)","1.537","s"
"2001","EU28","European Union - 28 countries (2013-2020)","Purchasing power standard (PPS) per kilogram","1.2899","s"
"2001","EU28","European Union - 28 countries (2013-2020)","Index, 2000=100","101.261","s"
"2001","BE","Belgium","Euro per kilogram","1.6899","bs"
"2001","BE","Belgium","Euro per kilogram, chain linked volumes (2010)","1.9805","bs"
"2001","BE","Belgium","Purchasing power standard (PPS) per kilogram","1.5673","bs"
"2001","BE","Belgium","Index, 2000=100","98.913","bs"
"2001","BG","Bulgaria","Euro per kilogram","0.1475","s"
"2001","BG","Bulgaria","Euro per kilogram, chain linked volumes (2010)","0.2368","s"
"2001","BG","Bulgaria","Purchasing power standard (PPS) per kilogram","0.428","s"
"2001","BG","Bulgaria","Index, 2000=100","97.191","s"
"2001","CZ","Czechia","Euro per kilogram","0.4146",""
"2001","CZ","Czechia","Euro per kilogram, chain linked volumes (2010)","0.6491",""
"2001","CZ","Czechia","Purchasing power standard (PPS) per kilogram","0.8162",""
"2001","CZ","Czechia","Index, 2000=100","101.806",""
"2001","DK","Denmark","Euro per kilogram","1.3727",""
"2001","DK","Denmark","Euro per kilogram, chain linked volumes (2010)","1.6935",""
"2001","DK","Denmark","Purchasing power standard (PPS) per kilogram","0.974",""
"2001","DK","Denmark","Index, 2000=100","102.772",""
"2001","DE","Germany (until 1990 former territory of the FRG)","Euro per kilogram","1.5805",""
"2001","DE","Germany (until 1990 former territory of the FRG)","Euro per kilogram, chain linked volumes (2010)","1.7419",""
"2001","DE","Germany (until 1990 former territory of the FRG)","Purchasing power standard (PPS) per kilogram","1.407",""
"2001","DE","Germany (until 1990 former territory of the FRG)","Index, 2000=100","107.592",""
"2001","EE","Estonia","Euro per kilogram","0.3177",""
"2001","EE","Estonia","Euro per kilogram, chain linked volumes (2010)","0.5108",""
"2001","EE","Estonia","Purchasing power standard (PPS) per kilogram","0.539",""
"2001","EE","Estonia","Index, 2000=100","104.157",""
"2001","IE","Ireland","Euro per kilogram","0.9475",""
"2001","IE","Ireland","Euro per kilogram, chain linked volumes (2010)","1.0363",""
"2001","IE","Ireland","Purchasing power standard (PPS) per kilogram","0.8089",""
"2001","IE","Ireland","Index, 2000=100","104.198",""
"2001","EL","Greece","Euro per kilogram","0.9348","s"
"2001","EL","Greece","Euro per kilogram, chain linked volumes (2010)","1.2147","s"
"2001","EL","Greece","Purchasing power standard (PPS) per kilogram","1.1574","s"
"2001","EL","Greece","Index, 2000=100","98.068","s"
"2001","ES","Spain","Euro per kilogram","0.9868","s"
"2001","ES","Spain","Euro per kilogram, chain linked volumes (2010)","1.2732","s"
"2001","ES","Spain","Purchasing power standard (PPS) per kilogram","1.0925","s"
"2001","ES","Spain","Index, 2000=100","100.943","s"
"2001","FR","France","Euro per kilogram","1.8091","s"
"2001","FR","France","Euro per kilogram, chain linked volumes (2010)","2.1133","s"
"2001","FR","France","Purchasing power standard (PPS) per kilogram","1.6423","s"
"2001","FR","France","Index, 2000=100","106.044","s"
"2001","HR","Croatia","Euro per kilogram","0.6341",""
"2001","HR","Croatia","Euro per kilogram, chain linked volumes (2010)","0.8938",""
"2001","HR","Croatia","Purchasing power standard (PPS) per kilogram","1.0138",""
"2001","HR","Croatia","Index, 2000=100","84.873","s"
"2001","IT","Italy","Euro per kilogram","1.7035",""
"2001","IT","Italy","Euro per kilogram, chain linked volumes (2010)","2.0801",""
"2001","IT","Italy","Purchasing power standard (PPS) per kilogram","1.7272",""
"2001","IT","Italy","Index, 2000=100","100.38",""
"2001","CY","Cyprus","Euro per kilogram","0.6875","s"
"2001","CY","Cyprus","Euro per kilogram, chain linked volumes (2010)","0.8605","s"
"2001","CY","Cyprus","Purchasing power standard (PPS) per kilogram","0.7867","s"
"2001","CY","Cyprus","Index, 2000=100","103.936","s"
"2001","LV","Latvia","Euro per kilogram","0.587",""
"2001","LV","Latvia","Euro per kilogram, chain linked volumes (2010)","0.8241",""
"2001","LV","Latvia","Purchasing power standard (PPS) per kilogram","1.0958",""
"2001","LV","Latvia","Index, 2000=100","102.02",""
"2001","LT","Lithuania","Euro per kilogram","0.5223","s"
"2001","LT","Lithuania","Euro per kilogram, chain linked volumes (2010)","0.7443","s"
"2001","LT","Lithuania","Purchasing power standard (PPS) per kilogram","1.0364","s"
"2001","LT","Lithuania","Index, 2000=100","118.642","s"
"2001","LU","Luxembourg","Euro per kilogram","2.2796",""
"2001","LU","Luxembourg","Euro per kilogram, chain linked volumes (2010)","3.0272",""
"2001","LU","Luxembourg","Purchasing power standard (PPS) per kilogram","1.9584",""
"2001","LU","Luxembourg","Index, 2000=100","109.732",""
"2001","HU","Hungary","Euro per kilogram","0.4406",""
"2001","HU","Hungary","Euro per kilogram, chain linked volumes (2010)","0.6164",""
"2001","HU","Hungary","Purchasing power standard (PPS) per kilogram","0.8178",""
"2001","HU","Hungary","Index, 2000=100","91.404",""
"2001","MT","Malta","Euro per kilogram","1.2907","s"
"2001","MT","Malta","Euro per kilogram, chain linked volumes (2010)","1.5417","s"
"2001","MT","Malta","Purchasing power standard (PPS) per kilogram","1.7027","s"
"2001","MT","Malta","Index, 2000=100","104.387","s"
"2001","NL","Netherlands","Euro per kilogram","2.446",""
"2001","NL","Netherlands","Euro per kilogram, chain linked volumes (2010)","2.9001",""
"2001","NL","Netherlands","Purchasing power standard (PPS) per kilogram","2.2373",""
"2001","NL","Netherlands","Index, 2000=100","103.61",""
"2001","AT","Austria","Euro per kilogram","1.3961",""
"2001","AT","Austria","Euro per kilogram, chain linked volumes (2010)","1.6289",""
"2001","AT","Austria","Purchasing power standard (PPS) per kilogram","1.252",""
"2001","AT","Austria","Index, 2000=100","103.919","b"
"2001","PL","Poland","Euro per kilogram","0.4097",""
"2001","PL","Poland","Euro per kilogram, chain linked volumes (2010)","0.4808",""
"2001","PL","Poland","Purchasing power standard (PPS) per kilogram","0.6777",""
"2001","PL","Poland","Index, 2000=100","105.302",""
"2001","PT","Portugal","Euro per kilogram","0.6439",""
"2001","PT","Portugal","Euro per kilogram, chain linked volumes (2010)","0.8075",""
"2001","PT","Portugal","Purchasing power standard (PPS) per kilogram","0.7944",""
"2001","PT","Portugal","Index, 2000=100","96.987",""
"2001","RO","Romania","Euro per kilogram","0.1644",""
"2001","RO","Romania","Euro per kilogram, chain linked volumes (2010)","0.3178",""
"2001","RO","Romania","Purchasing power standard (PPS) per kilogram","0.4351",""
"2001","RO","Romania","Index, 2000=100","66.241",""
"2001","SI","Slovenia","Euro per kilogram","0.692",""
"2001","SI","Slovenia","Euro per kilogram, chain linked volumes (2010)","0.8546",""
"2001","SI","Slovenia","Purchasing power standard (PPS) per kilogram","0.9301",""
"2001","SI","Slovenia","Index, 2000=100","105.004",""
"2001","SK","Slovakia","Euro per kilogram","0.4128",""
"2001","SK","Slovakia","Euro per kilogram, chain linked volumes (2010)","0.7485",""
"2001","SK","Slovakia","Purchasing power standard (PPS) per kilogram","0.9521",""
"2001","SK","Slovakia","Index, 2000=100","96.741",""
"2001","FI","Finland","Euro per kilogram","0.8115","s"
"2001","FI","Finland","Euro per kilogram, chain linked volumes (2010)","0.9091","s"
"2001","FI","Finland","Purchasing power standard (PPS) per kilogram","0.6698","s"
"2001","FI","Finland","Index, 2000=100","100.518","s"
"2001","SE","Sweden","Euro per kilogram","1.5293",""
"2001","SE","Sweden","Euro per kilogram, chain linked volumes (2010)","1.7281",""
"2001","SE","Sweden","Purchasing power standard (PPS) per kilogram","1.2459",""
"2001","SE","Sweden","Index, 2000=100","103.117",""
"2001","UK","United Kingdom","Euro per kilogram","2.4652",""
"2001","UK","United Kingdom","Euro per kilogram, chain linked volumes (2010)","2.1958",""
"2001","UK","United Kingdom","Purchasing power standard (PPS) per kilogram","1.827",""
"2001","UK","United Kingdom","Index, 2000=100","102.361",""
"2001","IS","Iceland","Euro per kilogram",":",""
"2001","IS","Iceland","Euro per kilogram, chain linked volumes (2010)",":",""
"2001","IS","Iceland","Purchasing power standard (PPS) per kilogram",":",""
"2001","IS","Iceland","Index, 2000=100",":",""
"2001","NO","Norway","Euro per kilogram",":",""
"2001","NO","Norway","Euro per kilogram, chain linked volumes (2010)",":",""
"2001","NO","Norway","Purchasing power standard (PPS) per kilogram",":",""
"2001","NO","Norway","Index, 2000=100",":",""
"2001","CH","Switzerland","Euro per kilogram","3.4281",""
"2001","CH","Switzerland","Euro per kilogram, chain linked volumes (2010)","4.1064",""
"2001","CH","Switzerland","Purchasing power standard (PPS) per kilogram","2.4231",""
"2001","CH","Switzerland","Index, 2000=100","101.262",""
"2001","MK","North Macedonia","Euro per kilogram",":",""
"2001","MK","North Macedonia","Euro per kilogram, chain linked volumes (2010)",":",""
"2001","MK","North Macedonia","Purchasing power standard (PPS) per kilogram",":",""
"2001","MK","North Macedonia","Index, 2000=100",":",""
"2001","AL","Albania","Euro per kilogram",":",""
"2001","AL","Albania","Euro per kilogram, chain linked volumes (2010)",":",""
"2001","AL","Albania","Purchasing power standard (PPS) per kilogram",":",""
"2001","AL","Albania","Index, 2000=100",":",""
"2001","RS","Serbia","Euro per kilogram",":",""
"2001","RS","Serbia","Euro per kilogram, chain linked volumes (2010)","0.219",""
"2001","RS","Serbia","Purchasing power standard (PPS) per kilogram","0.4136",""
"2001","RS","Serbia","Index, 2000=100",":",""
"2001","TR","Turkey","Euro per kilogram","0.4235",""
"2001","TR","Turkey","Euro per kilogram, chain linked volumes (2010)","0.7014",""
