Transport mode,geo,obsValue
Final consumption - transport sector - road - energy use,EU-15,18.6
Air Domestic/International,EU-15,91.6
International maritime bunkers,EU-15,19.3
Final consumption - transport sector - rail - energy use,EU-15,-14.0
Final consumption - transport sector - domestic navigation - energy use,EU-15,-16.4
Final consumption - transport sector - road - energy use,EU-13,116.8
Air Domestic/International,EU-13,63.7
International maritime bunkers,EU-13,173.2
Final consumption - transport sector - rail - energy use,EU-13,-37.9
Final consumption - transport sector - domestic navigation - energy use,EU-13,-77.8
Final consumption - transport sector - road - energy use,EEA-33,34.5
Air Domestic/International,EEA-33,103.1
International maritime bunkers,EEA-33,26.1
Final consumption - transport sector - rail - energy use,EEA-33,-19.7
Final consumption - transport sector - domestic navigation - energy use,EEA-33,-17.4
